3932,2017-04-01,30,-0.008129410969943629
4506,2017-04-01,30,0.2796277680290393
4286,2017-04-01,30,0.3934385536456262
4290,2017-04-01,30,-0.006371742396382052
4296,2017-04-01,30,0.1802332511671937
3965,2017-04-01,30,0.333432509572452
3991,2017-04-01,30,0.36420562430510334
3911,2017-04-02,30,0.36927478548414683
3906,2017-04-02,30,-0.030660140559367777
4267,2017-04-02,30,0.1155189341347847
4367,2017-04-02,30,0.07399825549675187
4155,2017-04-02,30,0.7043122468070053
4179,2017-04-01,30,0.4803383679506845
4088,2017-04-01,30,0.4060178597658445
4238,2017-04-01,30,0.3942552378887435
3918,2017-04-02,30,0.1865967984662107
3966,2017-04-01,30,-0.046262061312763975
4310,2017-04-01,30,0.4904749545117415
4291,2017-04-01,30,0.2602852251383907
4471,2017-04-01,30,0.40596208029771585
4370,2017-04-01,30,0.3900832504600048
4266,2017-04-01,30,0.585108417688536
3964,2017-04-01,30,0.24020781252951245
4528,2017-04-01,30,0.5787912058390006
3908,2017-04-02,30,0.39341014136184616
4013,2017-04-01,30,0.7390135251541765
4074,2017-04-01,30,0.11770286194275886
4427,2017-04-01,30,0.21578096013582665
5142,2017-04-02,30,0.18725454268412434
5055,2017-04-02,30,0.3527564875466078
5115,2017-04-01,30,0.34845921000384394
4369,2017-04-02,30,0.30705952608617154
5065,2017-04-01,30,0.44069324170914737
5168,2017-04-01,30,0.005691575568029017
5187,2017-04-02,30,0.25184584385406306
5249,2017-04-01,30,0.56341480085715
5112,2017-04-01,30,0.2229685202572435
5255,2017-04-01,30,0.1668043803574349
3685,2017-04-01,30,0.6911119122116663
6899,2017-04-02,30,0.2713433702528009
6703,2017-04-01,30,0.48572893145899143
3790,2017-04-01,30,0.39330350151043125
5421,2017-04-02,30,0.35385286072139843
11247,2017-04-01,30,0.30693668477398944
11203,2017-04-01,30,0.1753248616871942
9290,2017-04-01,30,-0.04334490276761785
11423,2017-04-01,30,-0.12099253503993987
5501,2017-04-01,30,0.16076478026808916
12775,2017-04-01,30,0.35016108105421584
12751,2017-04-01,30,-0.0640936675346283
8304,2017-04-01,30,0.2222026996217532
11682,2017-04-01,30,0.08577116378329475
11734,2017-04-01,30,0.46766456029718473
7390,2017-04-02,30,0.3309968018105123
