3938,2017-04-01,30
4349,2017-04-02,30
3941,2017-04-01,30
3950,2017-04-01,30
3933,2017-04-01,30
3943,2017-04-01,30
4024,2017-04-01,30
4014,2017-04-02,30
4241,2017-04-01,30
4244,2017-04-01,30
4236,2017-04-01,30
4026,2017-04-01,30
4442,2017-04-01,30
4495,2017-04-01,30
4492,2017-04-01,30
4282,2017-04-01,30
4288,2017-04-01,30
4039,2017-04-01,30
3967,2017-04-01,30
3979,2017-04-01,30
4466,2017-04-01,30
3997,2017-04-01,30
4481,2017-04-01,30
3992,2017-04-01,30
3904,2017-04-02,30
4329,2017-04-01,30
4255,2017-04-01,30
4371,2017-04-02,30
4372,2017-04-01,30
4373,2017-04-02,30
4262,2017-04-01,30
4265,2017-04-01,30
4396,2017-04-01,30
4158,2017-04-02,30
4160,2017-04-02,30
4170,2017-04-01,30
4175,2017-04-01,30
4180,2017-04-01,30
4092,2017-04-01,30
4181,2017-04-01,30
4350,2017-04-02,30
3905,2017-04-02,30
4041,2017-04-02,30
4240,2017-04-01,30
4083,2017-04-01,30
4982,2017-04-01,30
4154,2017-04-02,30
4275,2017-04-01,30
4493,2017-04-01,30
5048,2017-04-02,30
3978,2017-04-02,30
3986,2017-04-01,30
3998,2017-04-01,30
3936,2017-04-01,30
3922,2017-04-02,30
5041,2017-04-01,30
4641,2017-04-02,30
4642,2017-04-02,30
5051,2017-04-01,30
4625,2017-04-02,30
5022,2017-04-01,30
4983,2017-04-01,30
5166,2017-04-02,30
5070,2017-04-01,30
5243,2017-04-02,30
4147,2017-04-01,30
5016,2017-04-02,30
4643,2017-04-02,30
5703,2017-04-01,30
7051,2017-04-01,30
7987,2017-04-01,30
11210,2017-04-01,30
4368,2017-04-02,30
11220,2017-04-02,30
11213,2017-04-02,30
11214,2017-04-02,30
5145,2017-04-01,30
5936,2017-04-01,30
5865,2017-04-02,30
5114,2017-04-01,30
4977,2017-04-01,30
11243,2017-04-01,30
8444,2017-04-01,30
7253,2017-04-01,30
4709,2017-04-01,30
4653,2017-04-02,30
4578,2017-04-01,30
5998,2017-04-02,30
8429,2017-04-01,30
12189,2017-04-01,30
5422,2017-04-01,30
9381,2017-04-01,30
11994,2017-04-02,30
14522,2017-04-01,30
4565,2017-04-01,30
8147,2017-04-01,30
7825,2017-04-01,30
5558,2017-04-01,30
14104,2017-04-01,30
